id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
164	"aldawood, abdulrahman s."	1.0095	0.0491	1	5	26	6	75	8.3103	2021.8333	12.5	1.385
305	"arthur, frank h."	-0.4739	-0.1536	2	3	3	5	185	8.5731	2015	37	1.7146
337	"athanassiou, christos g."	-0.2796	0.4208	3	5	24	28	725	41.3291	2017.4643	25.8929	1.476
987	"eleftheriadou, nikoleta"	0.7811	-0.382	1	5	25	5	43	7.0563	2023.2	8.6	1.4113
1453	"husain, mureed"	1.0384	-0.2309	1	5	25	5	43	7.0563	2023.2	8.6	1.4113
1647	"kavallieratos, nickolas g."	0.3096	0.0197	1	8	40	22	715	41.9798	2018.5455	32.5	1.9082
1822	"lampiri, evagelia"	-0.5092	0.5768	3	2	5	5	18	4.2727	2023.6	3.6	0.8545
2013	"maier, dirk e."	-0.8135	-0.3615	2	2	2	7	212	7.8661	2012	30.2857	1.1237
2218	"morrison, william r."	-0.3701	0.7068	3	2	4	5	26	18.0433	2024.4	5.2	3.6087
2331	"nayak, manoj k."	-0.5606	-0.4202	2	1	1	8	405	13.5024	2011.625	50.625	1.6878
2578	"phillips, thomas w."	-0.6266	-0.3237	2	3	3	5	189	8.0947	2018.2	37.8	1.6189
2706	"rasool, khawaja g."	0.712	-0.1313	1	5	26	6	75	8.3103	2021.8333	12.5	1.385
3172	"subramanyam, bhadriraju"	-0.9108	-0.3857	2	1	1	7	191	6.3317	2012.4286	27.2857	0.9045
3380	"vassilakos, thomas n."	-0.0294	0.4691	3	2	9	8	183	10.6364	2018.75	22.875	1.3295
3432	"wakil, waqas"	0.7229	0.1466	1	5	30	14	304	24.1826	2019.8571	21.7143	1.7273
