id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	algeria	-0.1981	0.3742	3	4	6	13	186	16.147	2020.6923	14.3077	1.2421
2	argentina	0.7198	-0.2597	2	5	6	19	609	27.4825	2014.2632	32.0526	1.4464
4	australia	-0.3104	-0.6084	1	9	20	43	1184	46.5543	2010.3488	27.5349	1.0827
6	bangladesh	0.3297	-0.9953	2	1	2	8	62	1.9887	2015.625	7.75	0.2486
8	brazil	0.5832	-0.0066	2	9	16	92	1857	91.231	2016.8152	20.1848	0.9916
9	cameroon	-0.137	0.8895	3	3	3	6	138	6.1999	2014.5	23	1.0333
11	canada	-0.0832	-0.5531	4	10	20	37	1237	53.4967	2010.3514	33.4324	1.4459
12	chile	1.3487	-0.4694	2	1	11	14	168	7.139	2013.7857	12	0.5099
13	china	-0.3084	-0.0481	1	16	40	130	1437	134.0453	2020.9	11.0538	1.0311
14	colombia	0.7901	0.0281	2	1	2	9	150	21.5476	2020.7778	16.6667	2.3942
17	czech republic	0.0785	0.1983	3	2	2	9	239	14.3053	2010.5556	26.5556	1.5895
23	egypt	0.3086	-0.1971	4	9	28	47	841	70.3915	2019.0851	17.8936	1.4977
25	ethiopia	-0.5269	-0.561	1	2	2	7	50	3.6834	2020.5714	7.1429	0.5262
27	france	-0.2108	0.5597	3	8	11	10	196	9.9962	2017.8	19.6	0.9996
28	germany	0.1001	0.6717	3	9	41	29	494	31.9207	2012.1034	17.0345	1.1007
29	ghana	0.0679	0.9864	3	3	9	10	166	6.7566	2013.5	16.6	0.6757
30	greece	-0.4274	0.2236	1	12	49	56	1634	96.18	2017.5893	29.1786	1.7175
32	india	-0.3065	-0.3457	1	15	20	152	1932	140.5276	2017.8224	12.7105	0.9245
33	indonesia	0.4289	-0.4697	2	5	6	6	142	10.5609	2022.5	23.6667	1.7602
35	iran	-0.8639	-0.0043	1	6	6	26	384	20.1787	2015.8462	14.7692	0.7761
36	iraq	-0.7973	-0.2281	1	4	4	17	15	3.5006	2021.5882	0.8824	0.2059
39	israel	-1.1929	-0.0903	1	1	1	10	861	22.1717	1999.2	86.1	2.2172
40	italy	-0.63	0.3704	1	8	13	21	696	37.3028	2015.8571	33.1429	1.7763
43	kenya	0.3209	0.8691	3	4	5	6	242	5.7231	2000.5	40.3333	0.9538
50	mexico	1.1858	-0.4079	2	4	14	26	230	13.8713	2017.9615	8.8462	0.5335
51	morocco	-0.0776	-0.8384	4	3	3	5	61	7.7385	2023.4	12.2	1.5477
58	nigeria	0.4821	0.2351	2	3	5	13	207	9.6559	2015.9231	15.9231	0.7428
60	pakistan	-0.113	0	1	14	64	116	1263	93.9853	2018.0948	10.8879	0.8102
70	saudi arabia	0.1262	-0.4126	4	13	56	38	548	57.4161	2021.6053	14.4211	1.5109
72	serbia	-0.8625	0.2975	1	3	6	7	130	8.3549	2018.1429	18.5714	1.1936
75	south africa	0.6986	0.7455	2	1	1	6	139	5.1312	2015.3333	23.1667	0.8552
76	south korea	0.2604	-0.839	2	7	11	22	774	30.2719	2019	35.1818	1.376
77	spain	0.076	0.3094	3	3	3	8	150	19.2027	2019.625	18.75	2.4003
84	thailand	-1.0681	-0.0762	1	5	5	9	567	22.228	2016.7778	63	2.4698
85	tunisia	-0.5531	-0.2039	1	2	2	6	42	3.2901	2022.1667	7	0.5483
86	turkey	-0.5904	-0.0246	1	9	10	32	385	35.0339	2021.875	12.0312	1.0948
90	united kingdom	0.5935	0.5692	2	9	14	27	670	26.5418	1997.7407	24.8148	0.983
91	united states	-0.0197	-0.2019	1	21	49	105	3198	152.4319	2010.8667	30.4571	1.4517
96	zimbabwe	0.7781	0.5136	2	2	6	8	183	12.0851	2016.125	22.875	1.5106
