id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
123	abbott w.s.	-0.0821	-0.2771	1	161	2279	203
195	abdelgaleil s.a.	-0.0034	-0.127	3	86	313	27
196	abdelgaleil s.a.m.	-0.5026	0.3775	1	119	422	30
325	adams r.p.	-0.9303	0.124	1	100	541	42
535	ahn y.j.	-0.5486	-0.4943	1	127	851	62
770	aldred d.	-0.0907	0.0696	2	85	201	23
831	ali s.s.	0.599	-0.0067	2	92	460	29
1267	arbogast r.t.	0.8607	0.2347	2	82	356	20
1327	arnason j.t.	-1.0722	0.188	1	106	478	39
1364	arthur f. h.	1.2674	-0.2771	3	23	138	26
1366	arthur f.h.	0.9195	-0.0223	3	158	7142	419
1489	athanassiou c.	0.8115	0.4089	2	106	475	28
1491	athanassiou c.g.	0.786	0.0698	3	155	3657	230
1670	bacci l.	-1.0623	-0.1051	1	53	302	23
1856	banks h.j.	0.1938	0.5126	2	80	216	20
1926	baributsa d.	-0.1436	0.3141	2	40	357	40
2029	batta y.a.	0.7132	-0.7498	3	80	632	38
2126	belanger a.	-0.4901	-0.1849	1	93	251	25
2139	bell c.h.	0.3411	0.5425	2	93	650	46
2158	belmain s.r.	-0.3543	-0.1459	1	95	284	29
2187	benelli g.	-0.7547	0.4257	1	126	1275	84
2563	bond e.j.	0.3222	0.6942	2	73	260	25
2648	boukouvala m.c.	0.4725	-0.0814	3	91	654	33
2868	buchelos c.t.	0.8147	-0.2637	3	135	1758	88
2915	burges h.d.	0.4881	0.0845	2	80	251	23
3076	campbell j.f.	0.9646	0.4054	2	129	943	43
3352	chandrapatya a.	-0.838	-0.5979	1	105	664	38
3421	chaubey m.k.	-0.7909	-0.0719	1	98	511	41
3435	chaudhry m.q.	0.4868	0.7622	2	58	311	24
3783	coats j.r.	-0.6021	-0.1936	1	116	732	64
3837	collins p.j.	0.371	0.8177	2	116	956	75
3888	conti b.	-0.9431	0.2464	1	94	445	38
4103	cuperus g.w.	0.4718	0.3981	2	111	469	44
4170	daglish g.j.	1.0859	0.305	2	112	986	52
4538	deng z.w.	-1.1111	-0.3963	1	92	548	36
4626	dewer y.	0.2023	-0.3917	3	106	385	22
4635	dhaliwal g.s.	-0.4569	0.1611	1	95	252	26
4797	don-pedro k.n.	-0.402	-0.7168	1	70	226	25
4907	du s.s.	-1.0365	-0.2933	1	78	475	31
4928	dubey n.k.	-0.685	0.2956	1	124	939	98
5015	dyte c.e.	0.523	0.5274	2	83	344	31
5038	ebeling w.	1.0385	-0.7129	3	94	763	48
5043	ebert p.r.	0.1968	0.8087	2	127	992	72
5544	fabrizio m.	0.6141	-0.6443	3	96	477	35
5811	fields p.	0.9367	-0.3613	3	72	399	26
5813	fields p.g.	0.3007	-0.2381	3	149	2028	129
5849	finney d.j.	-0.1677	-0.0753	1	143	1131	101
5897	fleurat-lessard f.	-0.0487	0.2153	2	127	493	45
5904	flinn p.w.	0.571	0.3136	2	105	799	51
5945	fontem d.a.	-0.2553	-0.4073	1	85	256	24
