id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
224	beauveria bassiana	-0.2879	-0.3822	3	13	21	18	2012.6111	29.4444	0.9916
281	biological control	-0.4207	0.14	3	17	35	34	2013.7647	17.4118	0.9373
318	botanical insecticides	1.0804	-0.4091	1	10	31	24	2015.375	12.9583	0.5489
326	botanicals	0.7167	-0.0656	1	7	11	16	2019.75	6.75	0.389
358	callosobruchus maculatus	0.7497	-0.6026	1	12	26	24	2017.375	11.0417	0.5929
506	contact toxicity	1.0989	0.2112	1	13	30	19	2018	29.6316	1.785
544	cryptolestes ferrugineus	-0.3977	-0.717	2	17	37	19	2014.2105	28.4211	1.4214
614	diatomaceous earth	-0.5908	-0.4447	2	22	67	37	2014	36	1.4925
734	entomopathogenic fungi	-0.0975	-0.2721	3	14	21	15	2016.4667	32.1333	1.3574
760	essential oil	0.7975	0.2369	1	18	49	39	2019.2564	33.4615	2.0262
764	essential oils	0.3914	0.4864	4	18	57	43	2018.3721	39.0465	1.262
867	fumigant	1.0293	0.475	1	10	20	15	2016.6667	41.6	1.7704
871	fumigant toxicity	0.69	0.5776	1	17	49	32	2016.9062	37.5938	1.7746
873	fumigation	0.0627	0.3754	3	20	43	29	2016.8966	24.0345	1.4628
966	grain storage	-0.3084	-0.0719	3	4	4	21	2016.7143	14.9048	1.3352
1124	insecticidal activity	0.3849	-0.6535	4	17	45	30	2021	16.5	1.4901
1227	lesser grain borer	-0.2219	0.3038	3	10	16	15	2013.6667	18.6	0.9671
1284	maize	-0.9137	-0.551	2	10	29	15	2009.1333	35.8667	1.2739
1291	maize weevil	1.0733	-0.1536	1	15	36	26	2016.8846	12.4615	0.7346
1402	mortality	0.2309	0.1552	1	24	49	46	2018.587	18.1087	0.9723
1535	oryzaephilus surinamensis	-1.1436	0.0396	2	15	32	18	2018.7222	12.2222	0.6227
1605	pest control	0.1008	-0.5401	4	11	14	15	2017.6	18.6	0.9004
1631	phosphine	-0.089	0.8513	3	11	22	22	2018.3182	16.9091	0.9676
1834	red flour beetle	0.1159	-0.0837	4	17	24	15	2020.5333	24.4	1.5043
1850	repellency	0.5041	0.2264	1	26	69	39	2018.8974	18.1795	1.2906
1895	rhyzopertha dominica	-0.6138	0.3628	2	29	124	56	2013.7679	21.3393	0.9771
2014	sitophilus granarius	-0.8587	-0.1722	2	21	43	23	2016.3913	19.087	1.1219
2015	sitophilus oryzae	-0.7646	0.1152	2	30	141	73	2016.3151	28.5753	1.2393
2022	sitophilus zeamais	0.5117	-0.3436	1	23	49	38	2014.9474	19.2368	0.955
2071	storage	-0.9478	0.4106	2	5	10	18	2015.8889	17.6667	1.0374
2097	stored grain	-0.0886	0.0816	3	25	48	47	2013.7021	32.9787	1.2573
2108	stored grain insects	-0.0266	-0.701	4	7	10	18	2021.1111	15.1111	1.1957
2111	stored grain pest	-0.103	0.5993	3	8	11	16	2012	10.8125	0.3867
2113	stored grain pests	0.2321	-0.3177	4	18	29	30	2017.6667	9.9667	0.574
2118	stored grains	0.8199	-0.308	1	23	66	62	2017.7903	10.5161	0.7538
2235	temperature	-1.1336	0.3358	2	12	23	23	2018.1304	9.7391	0.8147
2279	toxicity	0.4384	-0.0577	1	24	55	45	2018.1333	15.0889	1.0072
2304	tribolium castaneum	-0.396	0.5868	2	32	157	112	2018.0804	18.5536	1.1712
2307	tribolium confusum	-1.1453	-0.3072	2	17	56	22	2016.3182	29	1.3641
2327	trogoderma granarium	0.1141	0.7399	3	11	17	20	2017.3	10.05	0.7468
2396	wheat	-0.5936	-0.1562	2	25	56	32	2017.3438	24	1.3206
